,club_id,name,country_id,foundation_date,value,stadium,squad_size,average_age,national_players,current_transform_record,foriegners
131,c-7179,CD Tondela,n-136,,7.25m,Estádio João Cardoso,26,22.8,2,50000.0,12
132,c-2503,Boavista FC,n-136,,20.45m,Estádio do Bessa Sec. XXI,28,25.6,8,12250000.0,16
133,c-2995,FC Paços de Ferreira,n-136,,15.38m,Estádio Capital do Móvel,28,25.7,2,4960000.0,12
134,c-3349,CD Feirense,n-136,,6.03m,Estádio Marcolino de Castro,24,25.0,2,325000.0,11
135,c-3336,Desportivo Aves (- 2020),n-136,,,Estádio CD das Aves,0,,0,0.0,
136,c-294,SL Benfica,n-136,,313.00m,Estádio da Luz,24,25.0,10,148170000.0,14
137,c-720,FC Porto,n-136,,279.30m,Estádio do Dragão,28,26.6,9,35740000.0,15
138,c-336,Sporting CP,n-136,,234.50m,Estádio José Alvalade XXI,33,24.5,7,71530000.0,16
139,c-1075,SC Braga,n-136,,111.30m,Estádio Municipal de Braga,25,25.9,3,48730000.0,14
140,c-7378,Portimonense SC,n-136,,19.75m,Portimonense Estádio,32,25.2,3,12100000.0,23
141,c-2420,Vitória Guimarães SC,n-136,,39.50m,Estádio D. Afonso Henriques,29,24.1,4,13490000.0,12
142,c-2425,Rio Ave FC,n-136,,12.88m,Estádio dos Arcos,24,27.4,0,600000.0,12
143,c-979,Moreirense FC,n-136,,9.73m,E. C. J. de Almeida Freitas,25,26.6,1,1000000.0,16
144,c-3325,GD Chaves,n-136,,11.83m,Estádio Municipal Eng.º Manuel Branco Teixeira,27,26.4,3,4500000.0,17
145,c-2423,CD Santa Clara,n-136,,23.40m,Estádio de São Miguel,31,25.8,2,5850000.0,20
146,c-2503,Boavista FC,n-136,,20.45m,Estádio do Bessa Sec. XXI,28,25.6,8,12250000.0,16
147,c-2457,B SAD,n-136,,5.60m,Estádio Nacional do Jamor,25,24.2,4,1800000.0,13
148,c-1085,Vitória Setúbal FC,n-136,,375k,Estádio do Bonfim,29,26.0,0,0.0,10
149,c-1301,CS Marítimo,n-136,,16.75m,Estádio do Marítimo,29,26.6,4,-750000.0,18
150,c-7179,CD Tondela,n-136,,7.25m,Estádio João Cardoso,26,22.8,2,50000.0,12
151,c-3336,Desportivo Aves (- 2020),n-136,,,Estádio CD das Aves,0,,0,0.0,
152,c-3349,CD Feirense,n-136,,6.03m,Estádio Marcolino de Castro,24,25.0,2,325000.0,11
153,c-982,CD Nacional,n-136,,5.28m,Estádio da Madeira,27,25.0,2,0.0,12
154,c-294,SL Benfica,n-136,,313.00m,Estádio da Luz,24,25.0,10,148170000.0,14
155,c-720,FC Porto,n-136,,279.30m,Estádio do Dragão,28,26.6,9,35740000.0,15
156,c-336,Sporting CP,n-136,,234.50m,Estádio José Alvalade XXI,33,24.5,7,71530000.0,16
157,c-1075,SC Braga,n-136,,111.30m,Estádio Municipal de Braga,25,25.9,3,48730000.0,14
158,c-2420,Vitória Guimarães SC,n-136,,39.50m,Estádio D. Afonso Henriques,29,24.1,4,13490000.0,12
159,c-3329,FC Famalicão,n-136,,39.60m,Estádio Municipal de Famalicão,30,24.3,4,2200000.0,19
160,c-7378,Portimonense SC,n-136,,19.75m,Portimonense Estádio,32,25.2,3,12100000.0,23
