,club_id,name,country_id,foundation_date,value,stadium,squad_size,average_age,national_players,current_transform_record,foriegners
640,c-1269,PEC Zwolle,n-122,,12.28m,MAC³PARK stadion,34,24.2,2,2530000.0,10
641,c-468,Sparta Rotterdam,n-122,,18.13m,"Sparta-stadion ""Het Kasteel""",24,26.1,1,2190000.0,9
642,c-1283,FC Emmen,n-122,,13.58m,De Oude Meerdijk,30,25.8,3,0.0,14
643,c-385,Fortuna Sittard,n-122,,22.53m,Fortuna Sittard Stadion,26,25.8,2,400000.0,18
644,c-1426,VVV-Venlo,n-122,,7.98m,Covebo Stadion - De Koel ,28,22.9,0,0.0,7
645,c-235,RKC Waalwijk,n-122,,13.68m,Mandemakers Stadion,28,26.1,5,3000000.0,16
646,c-610,Ajax Amsterdam,n-122,,280.15m,Johan Cruijff ArenA,26,24.3,15,103520000.0,11
647,c-383,PSV Eindhoven,n-122,,201.60m,Philips Stadion,24,25.6,8,83750000.0,14
648,c-1090,AZ Alkmaar,n-122,,107.90m,AFAS Stadion,28,23.1,8,8210000.000000001,11
649,c-234,Feyenoord Rotterdam,n-122,,183.00m,"Stadion Feyenoord ""De Kuip""",27,23.5,13,35130000.0,16
650,c-200,FC Utrecht,n-122,,50.83m,"Stadion ""Galgenwaard""",30,25.6,5,8800000.0,13
651,c-202,FC Groningen,n-122,,34.15m,Euroborg,29,22.9,5,15970000.0,14
652,c-499,Vitesse Arnhem,n-122,,39.68m,GelreDome,28,23.7,4,-1200000.0,13
653,c-306,SC Heerenveen,n-122,,36.20m,Abe Lenstra Stadion,26,24.7,2,4950000.0,12
654,c-317,Twente Enschede FC,n-122,,43.83m,De Grolsch Veste,24,25.4,4,-500000.0,10
655,c-403,Willem II Tilburg,n-122,,9.40m,Koning Willem II Stadion,27,25.9,0,385000.0,7
656,c-385,Fortuna Sittard,n-122,,22.53m,Fortuna Sittard Stadion,26,25.8,2,400000.0,18
657,c-1269,PEC Zwolle,n-122,,12.28m,MAC³PARK stadion,34,24.2,2,2530000.0,10
658,c-1304,Heracles Almelo,n-122,,10.88m,Erve Asito,29,24.2,0,5750000.0,18
659,c-468,Sparta Rotterdam,n-122,,18.13m,"Sparta-stadion ""Het Kasteel""",24,26.1,1,2190000.0,9
660,c-1268,ADO Den Haag,n-122,,8.88m,Bingoal Stadion,34,23.5,4,0.0,9
661,c-1283,FC Emmen,n-122,,13.58m,De Oude Meerdijk,30,25.8,3,0.0,14
662,c-1426,VVV-Venlo,n-122,,7.98m,Covebo Stadion - De Koel ,28,22.9,0,0.0,7
663,c-235,RKC Waalwijk,n-122,,13.68m,Mandemakers Stadion,28,26.1,5,3000000.0,16
664,c-610,Ajax Amsterdam,n-122,,280.15m,Johan Cruijff ArenA,26,24.3,15,103520000.0,11
665,c-383,PSV Eindhoven,n-122,,201.60m,Philips Stadion,24,25.6,8,83750000.0,14
666,c-234,Feyenoord Rotterdam,n-122,,183.00m,"Stadion Feyenoord ""De Kuip""",27,23.5,13,35130000.0,16
667,c-1090,AZ Alkmaar,n-122,,107.90m,AFAS Stadion,28,23.1,8,8210000.000000001,11
668,c-499,Vitesse Arnhem,n-122,,39.68m,GelreDome,28,23.7,4,-1200000.0,13
669,c-200,FC Utrecht,n-122,,50.83m,"Stadion ""Galgenwaard""",30,25.6,5,8800000.0,13
670,c-202,FC Groningen,n-122,,34.15m,Euroborg,29,22.9,5,15970000.0,14
671,c-306,SC Heerenveen,n-122,,36.20m,Abe Lenstra Stadion,26,24.7,2,4950000.0,12
672,c-317,Twente Enschede FC,n-122,,43.83m,De Grolsch Veste,24,25.4,4,-500000.0,10
673,c-468,Sparta Rotterdam,n-122,,18.13m,"Sparta-stadion ""Het Kasteel""",24,26.1,1,2190000.0,9
674,c-1304,Heracles Almelo,n-122,,10.88m,Erve Asito,29,24.2,0,5750000.0,18
675,c-385,Fortuna Sittard,n-122,,22.53m,Fortuna Sittard Stadion,26,25.8,2,400000.0,18
676,c-403,Willem II Tilburg,n-122,,9.40m,Koning Willem II Stadion,27,25.9,0,385000.0,7
677,c-467,NEC Nijmegen,n-122,,21.68m,Goffertstadion,27,24.2,1,-1000000.0,9
678,c-1269,PEC Zwolle,n-122,,12.28m,MAC³PARK stadion,34,24.2,2,2530000.0,10
679,c-1435,Go Ahead Eagles,n-122,,12.23m,De Adelaarshorst,27,23.4,0,750000.0,11
680,c-133,SC Cambuur Leeuwarden,n-122,,16.73m,Cambuurstadion,30,25.8,5,-550000.0,12
681,c-235,RKC Waalwijk,n-122,,13.68m,Mandemakers Stadion,28,26.1,5,3000000.0,16
682,c-610,Ajax Amsterdam,n-122,"Mar 18, 1900",280.15m,Johan Cruijff ArenA,26,24.3,15,103520000.0,11
683,c-383,PSV Eindhoven,n-122,"Aug 31, 1913",201.60m,Philips Stadion,24,25.6,8,83750000.0,14
684,c-234,Feyenoord Rotterdam,n-122,"Jul 19, 1908",183.00m,"Stadion Feyenoord ""De Kuip""",27,23.5,13,35130000.0,16
685,c-1090,AZ Alkmaar,n-122,"May 10, 1967",107.90m,AFAS Stadion,28,23.1,8,8210000.000000001,11
