id,name,country_id,foundation_date,value,stadium,squad_size,average_age,national_players,current_transfer_record,foreigners,season,market_value,league_id
c-44,Hertha BSC,n-40,,92350000.0,Olympiastadion Berlin,29,26.1,8,16200000.0,16.0,,,
c-167,FC Augsburg,n-40,,117150000.0,WWK ARENA,32,25.3,6,-4650000.0,19.0,,,
c-65,SpVgg Greuther Fأ¼rth,n-40,,20800000.0,Sportpark Ronhof | Thomas Sommer,28,24.0,2,3970000.0,11.0,,,
c-38,Fortuna Dأ¼sseldorf,n-40,,27750000.0,MERKUR SPIEL-ARENA,29,25.9,2,600000.0,12.0,,,
c-23,Eintracht Braunschweig,n-40,,17930000.0,EINTRACHT-Stadion,29,26.0,0,-600000.0,9.0,,,
c-127,SC Paderborn 07,n-40,,19230000.0,Home Deluxe Arena,26,25.7,1,-450000.0,5.0,,,
c-4795,FC Ingolstadt 04,n-40,,7350000.0,Audi Sportpark,28,24.3,1,1550000.0,8.0,,,
c-105,SV Darmstadt 98,n-40,,25680000.0,Merck-Stadion am Bأ¶llenfalltor,27,25.6,1,-3050000.0,11.0,,,
c-23826,RB Leipzig,n-40,,487300000.0,Red Bull Arena,27,25.6,18,16320000.0,17.0,,,
c-89,1.FC Union Berlin,n-40,,126100000.0,Stadion An der Alten Fأ¶rsterei,27,27.6,9,6020000.0,13.0,,,
c-10,Arminia Bielefeld,n-40,,21450000.0,Schأ¼coArena,27,25.3,4,5900000.0,15.0,,,
c-80,VfL Bochum,n-40,,47750000.0,Vonovia Ruhrstadion,28,28.1,7,14270000.0,17.0,,,
c-46,Inter Milan,n-75,,534450000.00000006,Giuseppe Meazza,27,28.5,17,-34550000.0,16.0,,,
c-5,AC Milan,n-75,,547250000.0,Giuseppe Meazza,30,27.0,19,-37420000.0,24.0,,,
c-506,Juventus FC,n-75,,420700000.0,Allianz Stadium,28,27.0,17,5030000.0,17.0,,,
