id,name,teams_number,market_value,players_number,avg_age,foreigners,country_id,league_cups_url,country_url
GB1,,,,,,,,,
L1,,,,,,,,,
IT1,,,,,,,,,
FR1,,,,,,,,,
ES1,,,,,,,,,
