id,name,teams_number,market_value,players_number,avg_age,foreigners,country_id
landespokal-niedersachsen-amateure-,Niedersachsenpokal (Amateure),,,,,,40
landespokal-niederrhein,Niederrheinpokal,,,,,,40
landespokal-hamburg,Hamburgpokal,,,,,,40
landespokal-sachsen-anhalt,Sachsen-Anhalt-Pokal,,,,,,40
landespokal-thuringen,Thüringenpokal,,,,,,40
landespokal-westfalen,Westfalenpokal,,,,,,40
landespokal-baden,Badenpokal,,,,,,40
landespokal-hessen,Hessenpokal,,,,,,40
landespokal-sudbaden,SBFV-Rothaus-Pokal,,,,,,40
landespokal-sudwest,Südwestpokal,,,,,,40
landespokal-bayern,Bayernpokal,,,,,,40
landespokal-berlin,Berliner Pokal,,,,,,40
landespokal-rheinland,Rheinlandpokal,,,,,,40
landespokal-saarland,Saarlandpokal,,,,,,40
landespokal-schleswig-holstein,Schleswig-Holstein-Pokal,,,,,,40
campionato-primavera-girone-a,Primavera A,,,,,,75
campionato-primavera-girone-b,Primavera B,,,,,,75
campionato-primavera-girone-c,Primavera C,,,,,,75
landesliga-niederrhein-gruppe-3,LL Niederrhein-Gr. 3,,,,,,40
landesliga-schleswig-holstein-mitte,Landesliga SH Mitte,,,,,,40
ligapokal-regionalliga-bayern,Ligapokal RL Bayern,,,,,,40
aufstiegsrunde-zur-nofv-oberliga,Aufstiegsr. NOFV-Oberliga,,,,,,40
a-junioren-relegation-sud-sudwest,U19-Relegation Süd/Südwest,,,,,,40
b-junioren-relegation-sud-sudwest,U17-Relegation Süd/Südwest,,,,,,40
ligapokal-landesliga-bayern-sudost,Ligapokal LL Bayern SO,,,,,,40
a-junioren-bundesliga-endrunde,U19-Bundesliga Endrunde,,,,,,40
b-junioren-bundesliga-endrunde,U17-Bundesliga Endrunde,,,,,,40
aufstiegsrunde-zur-oberliga-baden-wurttemberg,Aufstiegsr. OL Ba-Wü,,,,,,40
aufstiegsrunde-zur-hessenliga,Aufstiegsr. Hessenliga,,,,,,40
aufstiegsrunde-zur-oberliga-rheinland-pfalz-saar,Aufstiegsr. OL RLP/Saar,,,,,,40
relegation-zur-bayernliga,Relegation zur Bayernliga,,,,,,40
aufstiegsrunde-zur-landesliga-niederrhein,Playoffs LL,,,,,,40
relegation-verbandsliga-hessen,Rel. VL Hessen,,,,,,40
abstiegsrelegation-westfalenliga,Abstiegsrel. Westfalenliga,,,,,,40
aufstiegsrunde-zur-oberliga-hamburg,Aufstiegsr. OL HH,,,,,,40
nofv-oberliga-abstiegsrunde,NOFV-Oberliga Abstiegsrunde,,,,,,40
aufstiegsrunde-zur-regionalliga-nord,Aufstiegsrunde zur RL Nord,,,,,,40
relegation-regionalliga-nord,Rel. RL Nord,,,,,,40
b-junioren-relegation-nord-nordost,U17-Relegation Nord/Nordost,,,,,,40
a-junioren-relegation-nord-nordost,U19-Relegation Nord/Nordost,,,,,,40
aufstiegsrunde-zur-regionalliga-bayern,Aufstiegsrunde RL Bayern,,,,,,40
aufstiegsrunde-zur-regionalliga-sudwest,Aufstiegsrunde zur Regionalliga Südwest,,,,,,40
regionalliga-nord-abstiegsrunde,OL Niedersachsen Playoff,,,,,,40
hessenliga-endrunde,Hessenliga - Finals,,,,,,40
oberliga-niederrhein-endrunde,OL Niederrhein - Endr.,,,,,,40
oberliga-rheinland-pfalz-saar-endrunde,OL RP/Saar - Finals,,,,,,40
landesliga-hannover-endrunde,LL Hannover - Finals,,,,,,40
landesiga-luneburg-endrunde,LL Lüneburg - Finals,,,,,,40
landesliga-weser-ems-endrunde,LL Weser-Ems - Finals,,,,,,40
landesliga-hamburg-ab-2021-22-,Landesliga Hamburg,,,,,,40
a-junioren-ligapokal-west,U19 Ligapokal West,,,,,,40
b-junioren-ligapokal-west,U17 Ligapokal West,,,,,,40
aufstiegsrunde-zur-oberliga-westfalen,Aufstiegsr. OL Westf.,,,,,,40
aufstiegsrunde-zur-berlin-liga,Aufstiegsr. Berlin-Liga,,,,,,40
landesliga-bayern-nordost-endrunde,LL Bayern NO - Finals,,,,,,40
landesliga-bayern-nordwest-endrunde,LL Bayern NW - Finals,,,,,,40
verbandsliga-sachsen-anhalt-endrunde,VL Sachsen-Anhalt - Finals,,,,,,40
verbandsliga-sudwest-endrunde,VL Südwest - Finals,,,,,,40
regionalliga-nord-meisterrunde,RL Nord Playoffs,,,,,,40
oberliga-westfalen-endrunde,OL Westf. - Finals,,,,,,40
oberliga-schleswig-holstein-abstiegsrunde,OL Hamburg Playoff,,,,,,40
oberliga-schleswig-holstein-meisterrunde,OL Schleswig-Holstein Playoffs,,,,,,40
relegationsrunde-zur-oberliga-niederrhein,Playoffs OL,,,,,,40
aufstiegsrunde-zur-schleswig-holstein-liga,Aufstiegsr. OL SH,,,,,,40
niedersachsenpokal-bis-17-18-,NDS-Pokal,,,,,,40
verbandsliga-schleswig-holstein-sud-ost,Verbandsliga SH Süd-Ost,,,,,,40
verbandsliga-schleswig-holstein-nord-ost,Verbandsliga SH Nord-Ost,,,,,,40
verbandsliga-schleswig-holstein-nord-west-beta-,Verbandsliga SH Nord-West,,,,,,40
verbandsliga-schleswig-holstein-sud-west-beta-,Verbandsliga SH Süd-West,,,,,,40
aufstiegsrunde-zur-landesliga-schleswig-holstein,Aufstiegsr. Landesliga,,,,,,40
aufstiegsrunde-zur-regionalliga-nordost,Aufstiegsrunde zur RL Nordost,,,,,,40
