,id,name,start_date,end_date
0,2015,premier-league,2015-08-08,2016-05-15
1,2016,premier-league,2016-08-13,2017-05-21
2,2017,premier-league,2017-08-11,2018-05-13
3,2018,premier-league,2018-08-10,2019-05-12
4,2019,premier-league,2019-08-09,2020-07-26
5,2020,premier-league,2020-09-12,2021-05-23
6,2021,premier-league,2021-08-13,2022-05-22
7,2015,bundesliga,2015-08-14,2016-05-14
8,2016,bundesliga,2016-08-26,2017-05-20
9,2017,bundesliga,2017-08-18,2018-05-12
10,2018,bundesliga,2018-08-24,2019-05-18
11,2019,bundesliga,2019-08-16,2020-06-27
12,2020,bundesliga,2020-09-18,2021-05-22
13,2021,bundesliga,2021-08-13,2022-05-14
14,2015,serie-a,2015-08-22,2016-05-14
15,2016,serie-a,2016-08-20,2017-05-27
16,2017,serie-a,2017-08-19,2018-05-19
17,2018,serie-a,2018-08-18,2019-05-25
18,2019,serie-a,2019-08-24,2020-08-01
19,2020,serie-a,2020-09-19,2021-05-22
20,2021,serie-a,2021-08-21,2022-05-20
21,2015,ligue-1,2015-08-07,2016-05-14
22,2016,ligue-1,2016-08-12,2017-05-20
23,2017,ligue-1,2017-08-04,2018-05-19
24,2018,ligue-1,2018-08-10,2019-05-24
25,2019,ligue-1,2019-08-09,2020-03-06
26,2020,ligue-1,2020-08-21,2021-05-23
27,2021,ligue-1,2021-08-06,2022-05-21
28,2015,laliga,2015-08-21,2016-05-13
29,2016,laliga,2016-08-19,2017-05-19
30,2017,laliga,2017-08-18,2018-05-19
31,2018,laliga,2018-08-17,2019-05-18
32,2019,laliga,2019-08-16,2020-07-19
33,2020,laliga,2020-09-12,2021-05-21
34,2021,laliga,2021-08-13,2022-05-20
